# q	I	sigma_I
1.616019999999999956e-01 4.089932469999999539e-04 5.204629448641583632e-03
1.623489999999999933e-01 -2.412851329999999816e-05 5.204283256408791421e-03
1.630950000000000177e-01 1.913209600000000175e-04 5.204445202854652598e-03
1.638420000000000154e-01 6.558867599999999463e-04 5.204838420449007901e-03
1.645880000000000121e-01 2.243672469999999906e-04 5.204473174860868231e-03
1.653339999999999810e-01 5.827862870000000053e-04 5.204776548746046366e-03
1.660810000000000064e-01 4.897308869999999949e-04 5.204697786275485141e-03
1.668270000000000031e-01 -4.267313330000000154e-05 5.204283256408791421e-03
1.675740000000000007e-01 3.966060130000000333e-04 5.204618963808583555e-03
1.683199999999999974e-01 7.291776470000000321e-04 5.204900452578621432e-03
1.690669999999999951e-01 4.435912529999999805e-04 5.204658733058841955e-03
1.698130000000000195e-01 2.234851129999999744e-04 5.204472428181122420e-03
1.705589999999999884e-01 1.320510600000000042e-04 5.204395033513165882e-03
1.713059999999999861e-01 4.370419400000000306e-04 5.204653189607082696e-03
1.720520000000000105e-01 1.443312130000000003e-04 5.204405428157725041e-03
1.727990000000000081e-01 4.267355329999999704e-05 5.204319378503467937e-03
1.735450000000000048e-01 1.263962469999999896e-04 5.204390246939503278e-03
1.742920000000000025e-01 7.945510799999999001e-04 5.204955782889326976e-03
1.750379999999999991e-01 6.311514869999999399e-04 5.204817484778107885e-03
1.757839999999999958e-01 4.139826999999999895e-04 5.204633671820668717e-03
1.765309999999999935e-01 -4.072250669999999948e-04 5.204283256408791421e-03
1.772769999999999901e-01 -2.547562730000000187e-04 5.204283256408791421e-03
1.780239999999999878e-01 -5.734445999999999679e-05 5.204283256408791421e-03
1.787700000000000122e-01 -5.127345999999999342e-05 5.204283256408791421e-03
1.795170000000000099e-01 4.010530069999999826e-04 5.204622727846587582e-03
1.802630000000000066e-01 5.411943469999999645e-04 5.204741345305496578e-03
1.810090000000000032e-01 2.931255870000000225e-04 5.204531374827223167e-03
1.817560000000000009e-01 4.169240269999999952e-04 5.204636161420762505e-03
1.825019999999999976e-01 3.203833730000000125e-04 5.204554446789719929e-03
1.832489999999999952e-01 5.113416269999999974e-04 5.204716077800330271e-03
1.839949999999999919e-01 2.658343330000000277e-04 5.204508274433749214e-03
1.847420000000000173e-01 -5.045678269999999844e-04 5.204283256408791421e-03
1.854880000000000140e-01 5.383041330000000257e-05 5.204328822464839542e-03
1.862349999999999839e-01 2.832921069999999901e-04 5.204523051393835330e-03
1.869810000000000083e-01 2.696611130000000148e-04 5.204511513577410840e-03
1.877270000000000050e-01 5.451249930000000646e-04 5.204744672216587813e-03
1.884740000000000026e-01 3.610297529999999884e-04 5.204588851145846955e-03
1.892199999999999993e-01 -1.497739600000000035e-04 5.204283256408791421e-03
1.899669999999999970e-01 3.086192000000000080e-04 5.204544489186549092e-03
1.907130000000000214e-01 2.207479330000000183e-04 5.204470111302429182e-03
1.914599999999999913e-01 2.650548470000000040e-04 5.204507614644558050e-03
1.922059999999999880e-01 2.366361330000000130e-04 5.204483559812461343e-03
1.929519999999999846e-01 2.477851529999999716e-04 5.204492996839793668e-03
1.936990000000000101e-01 1.055747330000000112e-05 5.204292193069008816e-03
1.944450000000000067e-01 5.303715999999999146e-05 5.204328150999282775e-03
1.951920000000000044e-01 5.745155999999999310e-04 5.204769548451055119e-03
1.959380000000000011e-01 3.142694000000000509e-05 5.204309858551162300e-03
1.966849999999999987e-01 5.863824000000000662e-05 5.204332892146693208e-03
1.974309999999999954e-01 3.400203000000000080e-04 5.204571068121901199e-03
1.981769999999999921e-01 -4.995362000000000370e-05 5.204283256408791421e-03
1.989239999999999897e-01 7.042379400000000657e-04 5.204879344128192017e-03
1.996700000000000141e-01 4.117101200000000357e-04 5.204631748261071521e-03
2.004170000000000118e-01 3.568086069999999764e-04 5.204585278247593656e-03
2.011630000000000085e-01 2.369224999999999868e-04 5.204483802206464650e-03
2.019099999999999784e-01 4.153251530000000107e-04 5.204634808100840233e-03
2.026560000000000028e-01 5.431776000000000356e-04 5.204743023937316061e-03
2.034019999999999995e-01 2.624767530000000123e-04 5.204505432438565754e-03
2.041489999999999971e-01 2.135813130000000100e-04 5.204464045131203254e-03
2.048949999999999938e-01 2.387833999999999744e-05 5.204303468856781058e-03
2.056420000000000192e-01 4.093484999999999789e-04 5.204629749335388557e-03
2.063880000000000159e-01 4.623895599999999924e-04 5.204674644238109320e-03
2.071349999999999858e-01 3.376283869999999990e-04 5.204569043531965394e-03
2.078809999999999825e-01 3.630812070000000017e-04 5.204590587554081167e-03
2.086270000000000069e-01 -5.439582670000000429e-05 5.204283256408791421e-03
2.093739999999999768e-01 3.736776999999999612e-04 5.204599556713897061e-03
2.101199999999999735e-01 5.572352930000000221e-04 5.204754922399088338e-03
2.108669999999999989e-01 1.865177600000000294e-04 5.204441137176902404e-03
2.116130000000000233e-01 3.585872269999999611e-04 5.204586783722541486e-03
2.123599999999999932e-01 -6.367198670000000595e-05 5.204283256408791421e-03
2.131059999999999899e-01 2.381253129999999973e-04 5.204484820321761580e-03
2.138519999999999865e-01 4.049601330000000094e-04 5.204626034925653906e-03
2.145989999999999842e-01 4.265190269999999872e-04 5.204644282819217288e-03
2.153449999999999809e-01 3.033078870000000351e-04 5.204539993501166098e-03
2.160920000000000063e-01 -2.063942199999999776e-04 5.204283256408791421e-03
2.168380000000000030e-01 6.009905869999999624e-04 5.204791956800515831e-03
2.175850000000000006e-01 8.809633330000000737e-06 5.204290713563421329e-03
2.183309999999999973e-01 3.800885400000000077e-04 5.204604983015692979e-03
2.190769999999999940e-01 2.984140129999999949e-04 5.204535851147652076e-03
2.198239999999999916e-01 7.589864929999999956e-04 5.204925682054945511e-03
2.205699999999999883e-01 3.857634870000000186e-04 5.204609786433783344e-03
2.213170000000000137e-01 1.783694800000000058e-04 5.204434240042576931e-03
2.220630000000000104e-01 2.064634669999999958e-04 5.204458020237634833e-03
2.228099999999999803e-01 1.974457530000000042e-04 5.204450387192697397e-03
2.235560000000000047e-01 1.327204729999999970e-04 5.204395600144279439e-03
2.243020000000000014e-01 -8.143490000000000190e-05 5.204283256408791421e-03
2.250489999999999713e-01 -8.363466669999999555e-05 5.204283256408791421e-03
2.257949999999999680e-01 1.414768669999999970e-05 5.204295232099223796e-03
2.265420000000000211e-01 1.109497800000000116e-04 5.204377172098833930e-03
2.272880000000000178e-01 7.429719999999999738e-05 5.204346146967066440e-03
2.280349999999999877e-01 1.744573129999999828e-04 5.204430928574664550e-03
2.287809999999999844e-01 1.880284530000000021e-04 5.204442415906200201e-03
2.295280000000000098e-01 2.880464400000000034e-04 5.204527075644698429e-03
2.302739999999999787e-01 -1.125214329999999933e-04 5.204283256408791421e-03
2.310199999999999754e-01 4.682842730000000113e-04 5.204679633604808627e-03
2.317670000000000008e-01 -1.798556729999999993e-04 5.204283256408791421e-03
2.325129999999999975e-01 1.735225270000000184e-04 5.204430137321360353e-03
2.332599999999999951e-01 2.990550530000000073e-04 5.204536393747485196e-03
2.340059999999999918e-01 2.273685069999999890e-04 5.204475715267822475e-03
2.347530000000000172e-01 4.567948930000000139e-04 5.204669908830074875e-03
2.354989999999999861e-01 1.939765999999999954e-05 5.204299676073505243e-03
2.362449999999999828e-01 2.023589199999999860e-04 5.204454545944795299e-03
2.369920000000000082e-01 1.983072999999999910e-04 5.204451116449727160e-03
2.377380000000000049e-01 5.920580000000000157e-05 5.204333372569089518e-03
2.384850000000000025e-01 -8.802333330000000612e-07 5.204283256408791421e-03
2.392309999999999992e-01 2.080912530000000025e-04 5.204459398076067590e-03
2.399780000000000246e-01 3.075390670000000145e-04 5.204543574923641523e-03
2.407239999999999658e-01 4.054252000000000159e-05 5.204317574643070946e-03
2.414699999999999902e-01 2.537494799999999787e-04 5.204498045304913577e-03
2.422170000000000156e-01 5.328104469999999379e-04 5.204734249139158012e-03
2.429630000000000123e-01 3.236305400000000004e-04 5.204557195300894661e-03
2.437099999999999822e-01 1.560395669999999990e-04 5.204415338778610629e-03
2.444560000000000066e-01 1.924612929999999940e-04 5.204446168091216886e-03
2.452030000000000320e-01 -5.752993329999999116e-05 5.204283256408791421e-03
2.459489999999999732e-01 2.380668530000000006e-04 5.204484770838579272e-03
2.466949999999999699e-01 6.194824400000000604e-04 5.204807608192116124e-03
2.474419999999999953e-01 5.627315469999999995e-04 5.204759574432970583e-03
2.481880000000000197e-01 1.484798600000000052e-04 5.204408939812128938e-03
2.489349999999999896e-01 4.599409870000000043e-04 5.204672571730614705e-03
2.496809999999999863e-01 -1.083433330000000002e-04 5.204283256408791421e-03
2.504280000000000395e-01 -1.690195199999999982e-04 5.204283256408791421e-03
2.511739999999999529e-01 2.881467269999999975e-04 5.204527160531450571e-03
2.519199999999999773e-01 7.029172070000001002e-04 5.204878226284802983e-03
2.526670000000000305e-01 5.509463599999999371e-04 5.204749599435952098e-03
2.534129999999999994e-01 7.737657330000000415e-04 5.204938190795939043e-03
2.541599999999999970e-01 2.829986999999999846e-04 5.204522803042730024e-03
2.549060000000000215e-01 1.678474669999999982e-04 5.204425333641813332e-03
2.556530000000000191e-01 -2.297589670000000034e-04 5.204283256408791421e-03
2.563989999999999880e-01 5.272072329999999592e-04 5.204729506551127385e-03
2.571449999999999569e-01 1.735363929999999882e-04 5.204430149058292092e-03
2.578920000000000101e-01 -2.265785869999999971e-04 5.204283256408791421e-03
2.586380000000000345e-01 2.908236529999999966e-04 5.204529426383480012e-03
2.593849999999999767e-01 3.604680930000000267e-04 5.204588375740960490e-03
2.601310000000000011e-01 2.108570929999999848e-04 5.204461739218755288e-03
2.608779999999999988e-01 -4.087316329999999783e-04 5.204283256408791421e-03
2.616239999999999677e-01 2.744642069999999657e-04 5.204515579110461677e-03
2.623699999999999921e-01 5.227847599999999864e-04 5.204725763345064565e-03
2.631169999999999898e-01 3.658702070000000050e-04 5.204592948241018764e-03
2.638630000000000142e-01 5.232238930000000787e-04 5.204726135029830864e-03
2.646100000000000119e-01 4.331841799999999634e-04 5.204649924329556032e-03
2.653559999999999808e-01 1.301035799999999975e-04 5.204393385049518178e-03
2.661030000000000340e-01 1.420710070000000150e-04 5.204403514987843843e-03
2.668490000000000029e-01 3.851252999999999903e-04 5.204609246256452527e-03
2.675949999999999718e-01 1.776380000000000135e-06 5.204284760074996859e-03
2.683420000000000250e-01 2.674807400000000319e-04 5.204509668020457919e-03
2.690879999999999939e-01 2.878051729999999862e-04 5.204526871427077317e-03
2.698349999999999915e-01 2.278907730000000165e-04 5.204476157338084816e-03
2.705810000000000159e-01 1.111811730000000049e-04 5.204377367964357383e-03
2.713280000000000136e-01 2.083246730000000142e-04 5.204459595654249704e-03
2.720739999999999825e-01 4.596915269999999817e-04 5.204672360584026644e-03
2.728200000000000069e-01 9.422111330000000195e-05 5.204363011888345388e-03
2.735670000000000046e-01 2.554041799999999681e-04 5.204499445913910415e-03
2.743130000000000290e-01 3.932542070000000396e-04 5.204616126761092525e-03
2.750599999999999712e-01 3.287478199999999779e-04 5.204561526735555256e-03
2.758059999999999956e-01 1.339379069999999962e-04 5.204396630652914461e-03
2.765529999999999933e-01 3.764904329999999998e-04 5.204601937484996423e-03
2.772989999999999622e-01 4.068001130000000040e-04 5.204627592325259886e-03
2.780460000000000154e-01 3.659158330000000011e-04 5.204592986860121472e-03
2.787919999999999843e-01 1.538692530000000192e-04 5.204413501702060720e-03
2.795380000000000087e-01 2.242967869999999947e-04 5.204473115220211235e-03
2.802850000000000064e-01 4.274501799999999400e-04 5.204645070964924840e-03
2.810309999999999753e-01 1.775727329999999984e-04 5.204433565633367030e-03
2.817780000000000284e-01 1.457017800000000069e-04 5.204406588285045640e-03
2.825239999999999974e-01 1.480141000000000030e-04 5.204408545566085141e-03
2.832709999999999950e-01 5.612543799999999625e-04 5.204758324158021907e-03
2.840170000000000194e-01 2.686850869999999844e-04 5.204510687429135182e-03
2.847629999999999884e-01 1.009799530000000104e-04 5.204368733006001398e-03
2.855099999999999860e-01 -2.151806670000000146e-06 5.204283256408791421e-03
2.862560000000000104e-01 -2.644448799999999712e-04 5.204283256408791421e-03
2.870030000000000081e-01 2.490865129999999899e-04 5.204494098367771875e-03
2.877489999999999770e-01 3.555120070000000201e-04 5.204584180767915340e-03
2.884960000000000302e-01 2.667726869999999923e-04 5.204509068695276422e-03
2.892419999999999991e-01 3.372873869999999967e-04 5.204568754898841916e-03
2.899880000000000235e-01 1.409707129999999975e-04 5.204402583634721614e-03
2.907349999999999657e-01 -9.937868670000000071e-05 5.204283256408791421e-03
2.914809999999999901e-01 1.966558269999999821e-04 5.204449718559220686e-03
2.922280000000000433e-01 1.116502729999999967e-04 5.204377765039947673e-03
2.929739999999999567e-01 -2.420047329999999738e-05 5.204283256408791421e-03
2.937210000000000099e-01 -9.289324000000000984e-05 5.204283256408791421e-03
2.944670000000000343e-01 6.540084670000000620e-05 5.204338616486107148e-03
2.952130000000000032e-01 4.421516070000000164e-04 5.204657514518082340e-03
2.959600000000000009e-01 1.253589869999999879e-04 5.204389368939806894e-03
2.967059999999999698e-01 5.664195470000000631e-04 5.204762695956856311e-03
