x y
1.961024 563.5501
1.963339 528.5582
1.965655 529.8644
1.96797 561.1559
1.970286 583.0962
1.972601 572.2153
1.974917 529.079
1.977232 506.7866
1.979548 527.5839
1.981863 548.7649
1.984179 547.5823
1.986494 528.0185
1.988809 496.0858
1.991125 462.1639
1.99344 460.1591
1.995756 508.3407
1.998071 539.2349
2.000386 517.9394
2.002702 514.1121
2.005017 543.7563
2.007333 542.923
2.009648 509.7095
2.011963 490.334
2.014279 496.3427
2.016594 518.7696
2.018909 533.6234
2.021225 523.063
2.02354 496.2985
2.025855 474.6656
2.028171 489.1979
2.030486 517.2206
2.032801 493.0499
2.035116 453.1725
2.037432 475.1956
2.039747 516.5657
2.042062 515.038
2.044378 485.9592
2.046693 462.2895
2.049008 478.4738
2.051323 516.5296
2.053638 502.2485
2.055954 456.6568
2.058269 460.6121
2.060584 496.4441
2.062899 512.3606
2.065214 503.0104
2.06753 479.079
2.069845 460.2
2.07216 456.3615
2.074475 461.3741
2.07679 471.9274
2.079105 486.9956
2.08142 490.2805
2.083735 465.0103
2.08605 438.8108
2.088366 441.4045
2.090681 462.3457
2.092996 480.5832
2.095311 471.2522
2.097626 449.3164
2.099941 469.6558
2.102256 511.1212
2.104571 508.8664
2.106886 476.9441
2.109201 454.6594
2.111516 446.2899
2.113831 445.4681
2.116146 441.6422
2.118461 435.2809
2.120776 442.2541
2.123091 461.1896
2.125406 475.9359
2.127721 481.8546
2.130036 480.708
2.132351 474.1074
2.134665 462.7975
2.13698 445.2718
2.139295 428.3126
2.14161 432.8326
2.143925 450.4015
2.14624 443.4818
2.148555 424.1713
2.15087 430.3112
2.153184 445.1424
2.155499 441.8133
2.157814 438.7749
2.160129 451.7613
2.162444 467.2332
2.164758 470.7423
2.167073 453.4162
2.169388 432.9931
2.171703 442.6006
2.174018 461.6099
2.176332 452.1803
2.178647 425.6826
2.180962 405.6035
2.183277 407.8511
2.185591 433.9439
2.187906 463.7123
2.190221 477.6658
2.192535 462.089
2.19485 436.9633
2.197165 435.059
2.199479 437.7011
2.201794 419.6006
2.204109 401.4646
2.206423 404.8457
2.208738 431.5109
2.211053 465.33
2.213367 472.9367
2.215682 456.7236
2.217996 444.2362
2.220311 432.6916
2.222626 411.1388
2.22494 398.8408
2.227255 410.1695
2.229569 424.5074
2.231884 427.8506
2.234198 425.5091
2.236513 423.0968
2.238827 424.3616
2.241142 427.6854
2.243456 428.2687
2.245771 421.2564
2.248085 408.3978
2.2504 413.235
2.252714 440.3022
2.255029 448.777
2.257343 425.2546
2.259657 395.57
2.261972 384.1417
2.264286 406.0951
2.266601 427.9446
2.268915 411.9728
2.271229 395.6611
2.273544 409.7279
2.275858 419.2076
2.278173 407.172
2.280487 397.5306
2.282801 395.3694
2.285116 387.47
2.28743 381.6788
2.289744 391.3891
2.292058 392.9596
2.294373 368.2279
2.296687 355.3598
2.299001 375.5827
2.301316 398.6219
2.30363 406.9732
2.305944 404.3361
2.308258 397.1966
2.310573 393.1961
2.312887 400
